DISTRITO_ACCIDENTE,YEAR,TOTAL
ARGANZUELA  ,2009,722
ARGANZUELA  ,2010,690
ARGANZUELA  ,2011,654
ARGANZUELA  ,2012,631
ARGANZUELA  ,2013,631
ARGANZUELA  ,2014,616
ARGANZUELA  ,2015,600
ARGANZUELA  ,2016,610
BARAJAS,2009,188
BARAJAS,2010,135
BARAJAS,2011,171
BARAJAS,2012,159
BARAJAS,2013,150
BARAJAS,2014,146
BARAJAS,2015,185
BARAJAS,2016,213
CARABANCHEL,2009,807
CARABANCHEL,2010,696
CARABANCHEL,2011,726
CARABANCHEL,2012,718
CARABANCHEL,2013,709
CARABANCHEL,2014,714
CARABANCHEL,2015,725
CARABANCHEL,2016,725
CENTRO,2009,981
CENTRO,2010,1007
CENTRO,2011,1007
CENTRO,2012,917
CENTRO,2013,926
CENTRO,2014,939
CENTRO,2015,929
CENTRO,2016,932
CHAMARTIN,2009,908
CHAMARTIN,2010,858
CHAMARTIN,2011,888
CHAMARTIN,2012,841
CHAMARTIN,2013,844
CHAMARTIN,2014,838
CHAMARTIN,2015,904
CHAMARTIN,2016,904
CHAMBERI,2009,702
CHAMBERI,2010,676
CHAMBERI,2011,712
CHAMBERI,2012,711
CHAMBERI,2013,715
CHAMBERI,2014,697
CHAMBERI,2015,657
CHAMBERI,2016,647
CIUDAD LINEAL,2009,777
CIUDAD LINEAL,2010,767
CIUDAD LINEAL,2011,787
CIUDAD LINEAL,2012,711
CIUDAD LINEAL,2013,750
CIUDAD LINEAL,2014,757
CIUDAD LINEAL,2015,761
CIUDAD LINEAL,2016,787
FUENCARRAL-EL PARDO,2009,675
FUENCARRAL-EL PARDO,2010,636
FUENCARRAL-EL PARDO,2011,643
FUENCARRAL-EL PARDO,2012,670
FUENCARRAL-EL PARDO,2013,682
FUENCARRAL-EL PARDO,2014,644
FUENCARRAL-EL PARDO,2015,639
FUENCARRAL-EL PARDO,2016,692
HORTALEZA,2009,458
HORTALEZA,2010,343
HORTALEZA,2011,391
HORTALEZA,2012,367
HORTALEZA,2013,374
HORTALEZA,2014,410
HORTALEZA,2015,440
HORTALEZA,2016,472
LATINA     ,2009,620
LATINA     ,2010,552
LATINA     ,2011,567
LATINA     ,2012,548
LATINA     ,2013,530
LATINA     ,2014,583
LATINA     ,2015,583
LATINA     ,2016,622
MONCLOA-ARAVACA ,2009,766
MONCLOA-ARAVACA ,2010,739
MONCLOA-ARAVACA ,2011,683
MONCLOA-ARAVACA ,2012,678
MONCLOA-ARAVACA ,2013,702
MONCLOA-ARAVACA ,2014,677
MONCLOA-ARAVACA ,2015,664
MONCLOA-ARAVACA ,2016,709
MORATALAZ,2009,311
MORATALAZ,2010,268
MORATALAZ,2011,269
MORATALAZ,2012,286
MORATALAZ,2013,282
MORATALAZ,2014,291
MORATALAZ,2015,272
MORATALAZ,2016,307
PUENTE DE VALLECAS ,2009,801
PUENTE DE VALLECAS ,2010,686
PUENTE DE VALLECAS ,2011,752
PUENTE DE VALLECAS ,2012,713
PUENTE DE VALLECAS ,2013,651
PUENTE DE VALLECAS ,2014,706
PUENTE DE VALLECAS ,2015,751
PUENTE DE VALLECAS ,2016,811
RETIRO,2009,635
RETIRO,2010,572
RETIRO,2011,658
RETIRO,2012,626
RETIRO,2013,593
RETIRO,2014,621
RETIRO,2015,601
RETIRO,2016,647
SALAMANCA,2009,965
SALAMANCA,2010,900
SALAMANCA,2011,940
SALAMANCA,2012,1033
SALAMANCA,2013,982
SALAMANCA,2014,981
SALAMANCA,2015,849
SALAMANCA,2016,951
SAN BLAS,2009,527
SAN BLAS,2010,468
SAN BLAS,2011,505
SAN BLAS,2012,494
SAN BLAS,2013,518
SAN BLAS,2014,543
SAN BLAS,2015,495
SAN BLAS,2016,501
TETUAN,2009,655
TETUAN,2010,608
TETUAN,2011,589
TETUAN,2012,577
TETUAN,2013,594
TETUAN,2014,645
TETUAN,2015,636
TETUAN,2016,653
USERA,2009,411
USERA,2010,398
USERA,2011,369
USERA,2012,378
USERA,2013,387
USERA,2014,409
USERA,2015,387
USERA,2016,412
VICALVARO,2009,172
VICALVARO,2010,177
VICALVARO,2011,167
VICALVARO,2012,157
VICALVARO,2013,172
VICALVARO,2014,158
VICALVARO,2015,151
VICALVARO,2016,161
VILLA DE VALLECAS,2009,272
VILLA DE VALLECAS,2010,252
VILLA DE VALLECAS,2011,237
VILLA DE VALLECAS,2012,238
VILLA DE VALLECAS,2013,250
VILLA DE VALLECAS,2014,272
VILLA DE VALLECAS,2015,255
VILLA DE VALLECAS,2016,295
VILLAVERDE,2009,307
VILLAVERDE,2010,300
VILLAVERDE,2011,288
VILLAVERDE,2012,293
VILLAVERDE,2013,307
VILLAVERDE,2014,288
VILLAVERDE,2015,298
VILLAVERDE,2016,336
